"original","bias","std. error","min. c.i.","max. c.i.","X","index"
0.0226019284902463,0.000969308709248159,0.00642530902172991,0.0102229194569847,0.0355319199890133,"rinv*time_intervention","second order"
0.0254617207811838,0.000700226523120864,0.00973719431181416,0.00688000568959066,0.0464132310880017,"rinv*R0_1","second order"
0.0391247068566487,0.000492689963254161,0.00983112384790529,0.016565637292048,0.0629124233384077,"rinv*R0_2","second order"
0.0279101660791272,0.0010129410712088,0.00662623023144159,0.0145431304953356,0.041215393007843,"rinv*omega_1","second order"
0.029832674405638,0.000912713432431295,0.00808477859822148,0.0138044231702777,0.0495150895928706,"rinv*omega_2","second order"
0.0282233209199631,0.00104993411391086,0.00716201566881248,0.0108950360926583,0.0416566797980348,"rinv*p_12","second order"
0.0226553770504982,0.00112990231477985,0.00625930952143181,0.0102343302640057,0.0357496394857463,"rinv*p_21","second order"
0.0267219779006762,0.00115712688680626,0.0069968861722708,0.0131927346867887,0.0416329990650282,"time_intervention*R0_1","second order"
0.0246220465807607,0.00107738174267234,0.00840594642013295,0.00765111177877235,0.0417944871709793,"time_intervention*R0_2","second order"
0.0231763018534491,0.00109625424512402,0.00632717426657976,0.0106362258530917,0.0364895301062432,"time_intervention*omega_1","second order"
0.021162718070442,0.000943093659661373,0.00711216044373242,0.00524921424328912,0.0365577375383941,"time_intervention*omega_2","second order"
0.0235481183748484,0.00110003414982059,0.00606720773516251,0.0109520940363838,0.0364457166018616,"time_intervention*p_12","second order"
0.0230161773162111,0.00120809054665615,0.00636484642867083,0.00948886824868387,0.0369288528509421,"time_intervention*p_21","second order"
0.151881545409186,3.74663201850034e-05,0.0157341387912542,0.120622205530475,0.186331546625085,"R0_1*R0_2","second order"
0.0268504510238824,0.00116382205924975,0.00751099024462386,0.0110799172051221,0.0433357393541029,"R0_1*omega_1","second order"
0.108765696283138,0.000907403574542207,0.0183698966549448,0.07029170039029,0.145122317377826,"R0_1*omega_2","second order"
0.0204706325128436,0.0010691269707477,0.00717715222453863,0.00649575329216112,0.0338950847637812,"R0_1*p_12","second order"
0.0261646796129187,0.00104211678830965,0.00799051263765309,0.0106309916874872,0.0416069313474669,"R0_1*p_21","second order"
0.0274669731704142,0.00157839634754658,0.00976840481963275,0.00791143533935217,0.045352111324284,"R0_2*omega_1","second order"
0.0854218075903692,0.000232740966494699,0.0171310802975446,0.0489972044224716,0.114682240685573,"R0_2*omega_2","second order"
0.0329397869133391,0.00146202522447492,0.0076797005989545,0.0183217406076365,0.050824049188205,"R0_2*p_12","second order"
0.0258894843342994,0.00130249027846288,0.0065075816943163,0.0124464807892762,0.0389360081341121,"R0_2*p_21","second order"
0.029311130676097,0.000950336529428771,0.00754477706015824,0.0128507838204175,0.0435020199306251,"omega_1*omega_2","second order"
0.0202902471721675,0.00114618888433458,0.00708382931477392,0.00509769447033149,0.0339756280037267,"omega_1*p_12","second order"
0.0220885990845174,0.00129653953878195,0.00619544260899195,0.00869127421313077,0.0341715514150668,"omega_1*p_21","second order"
0.0275715210957652,0.00131989406579387,0.00724542713230082,0.0119477071636984,0.0416316060040737,"omega_2*p_12","second order"
0.0186673634313661,0.00128834504273148,0.00634016323963216,0.00535605740958955,0.0320161344923102,"omega_2*p_21","second order"
0.0233127352965277,0.00102819287468375,0.00632295736178135,0.0100475149453301,0.0367065818751111,"p_12*p_21","second order"
