"x0_1","x0_2","z0_1","z0_2","p_12","p_21","r","rinv","time_intervention","omega_1","omega_2","R0_1","R0_2","RC_1","RC_2","As","AsA1","AsA2","S","SA1","SA2","AIGR","AIGR_area1","AIGR_area2","AIGR_year","AIGR_year_area1","AIGR_year_area2","AIG","AIG_area1","AIG_area2","AIG_year","AIG_year_area1","AIG_year_area2"
0.407873026976273,0.388443190912101,896.829246062287,854.107016162149,0.144002502943296,0.364264878551452,0.00602409638554217,166,3,0.291196054822986,0.191416095913877,1.75226891700073,1.51881654169183,1.24201512138117,1.22809060887176,24584.3410274404,12492.581294032,12091.7597334083,24096.5637882319,12252.8921890985,11843.6715991333,0.0202426056883154,0.0195618390527243,0.02094689406055,0.00112458920490641,0.00108676883626246,0.00116371633669722,488,240,248,27,13,14
0.442198212499824,0.386907507263015,1232.07898902623,1078.0247339771,0.126532972965669,0.104180784787261,0.00763358778625954,131,3.5,0.186463501409139,0.126906818773027,1.87791057327844,1.54712182592369,1.5277487924517,1.3507815167414,42678.2189852018,22658.7921032345,20019.4268819673,42290.1968332465,22463.2464611555,19826.950372091,0.00917522690862077,0.00870513718563006,0.0097078222451815,0.00043691556707718,0.00041453034217286,0.000462277249770548,388,196,192,18,9,9
0.382873992815247,0.40132967743888,1259.00006646455,1319.68767806478,0.130142721059651,0.153470907081966,0.00900900900900901,111,2,0.353863378021226,0.296209582737624,1.58525261619373,1.70749678373114,1.02428977041043,1.2017198738963,22243.6538565573,10628.8949272952,11614.7589292621,21077.7488420675,10075.0322552728,11002.7165867946,0.055314494124861,0.0549737864841541,0.0556264753017513,0.00460954117707175,0.00458114887367951,0.00463553960847928,1166,554,612,97,46,51
0.450379372513356,0.438416287004036,1040.43336055301,1012.79711871185,0.361130923185626,0.152733601181535,0.00632911392405063,158,2,0.259302177692065,0.361561804522469,1.89306724229309,1.73872439208077,1.40219078384898,1.11006806331281,19025.6632873709,9801.05588265773,9224.6074047132,18447.3938529467,9488.22904740465,8959.16480554209,0.0313469446705509,0.0329699919437173,0.029628051825423,0.00261224538921258,0.00274749932864311,0.00246900431878525,578,313,265,48,26,22
0.434854439720378,0.421538918749668,998.250757848665,967.683681406471,0.150760478546354,0.150791643455252,0.00628930817610063,159,3.5,0.393437032545998,0.199909151059017,1.7979750106378,1.69976915099527,1.0905850578606,1.3599697430235,31799.2618040818,15551.9389747128,16247.322829369,30686.0909918125,15008.1424165519,15677.9485752606,0.0362760708936919,0.0362334353624655,0.0363168849148365,0.00172743194731866,0.00172540168392693,0.00172937547213507,1113,544,569,53,26,27
0.419419487719555,0.398084837865828,1457.98202873941,1383.81872210502,0.206324190085731,0.316120312061673,0.00952380952380952,105,3.5,0.298061258769035,0.37131396322177,1.81154967026705,1.54070849248516,1.27159689522462,0.968621915971057,43320.5678329684,22517.2350663396,20803.3327666288,40638.2922890233,21107.1869711316,19531.1053178917,0.0660036481077634,0.066804169458325,0.0651385279035728,0.00314303086227445,0.00318115092658691,0.00310183466207489,2682,1410,1272,128,67,61
0.488263499380439,0.479873806662743,1764.51660667188,1734.19742011784,0.389000930589205,0.156149075443367,0.0099009900990099,101,2,0.136835024822841,0.382193191577704,2.01639310422773,1.88963687358669,1.74047990375812,1.16743052594768,34457.8840048891,17857.0703184988,16600.8136863903,33814.7159093433,17501.210878582,16313.5050307612,0.0190203607586177,0.020333418206638,0.0176117060734249,0.00158503006321815,0.00169445151721983,0.00146764217278541,643,356,287,54,30,24
0.470986966850606,0.474778043947823,1562.82039000428,1575.39987309959,0.325715941468522,0.370671676957817,0.00909090909090909,110,3.5,0.145991249445372,0.334497597232962,1.85394033543854,1.9443377840046,1.5832812694707,1.2939614670458,55913.1017003359,28140.178718928,27772.9229814079,54851.1758802165,27600.9998666164,27250.1760136001,0.019360128622192,0.0195347579767862,0.0191832510566872,0.000921910886771049,0.000930226570323152,0.000913488145556532,1062,539,523,51,26,25
0.378702580085735,0.399331345050081,921.509611541955,971.706272955197,0.308105419019598,0.383260487279447,0.00666666666666667,150,3,0.142596785693034,0.412222650558699,1.43594023908657,1.86886566757806,1.23117977654554,1.09847690855088,25407.1107286019,12547.6948023788,12859.4159262232,24548.9862050504,12121.8386388766,12427.1475661737,0.0349555992407956,0.0351313176316631,0.0347841978819047,0.00194197773559975,0.00195173986842573,0.0019324554378836,858,426,432,48,24,24
0.412610038225576,0.31980544301646,1506.02663952335,1167.28986701008,0.127725311950862,0.223822627973196,0.01,100,1.5,0.287153882020502,0.360761420598067,1.90062385158144,1.17143512955311,1.35485233433907,0.74882652807705,17135.237042124,9965.03085714159,7170.20618498238,16576.8848767213,9661.70033489444,6915.18454182691,0.0336825748356804,0.0313951490662197,0.0368785014503884,0.00374250831507561,0.00348834989624663,0.00409761127226538,558,303,255,62,34,28
0.395154031121797,0.361747526548677,858.519174758667,785.939566608733,0.272265131397755,0.326714261161117,0.00595238095238095,168,3,0.272826955537195,0.322190455711714,1.85046519847108,1.33635329640871,1.34560841204468,0.905793018846936,21641.8868393725,11429.8784065104,10212.0084328621,20891.5404790977,11030.5850237973,9860.95545530043,0.0359162772618671,0.0361987493729218,0.0356003005137758,0.0019953487367704,0.00201104163182899,0.00197779447298754,750,399,351,42,22,20
0.2613149133712,0.279762819341565,623.398322748288,667.408033069748,0.321396430568746,0.385600225540122,0.0065359477124183,153,4,0.205339084756805,0.307507969683979,1.17807073301199,1.58749643388346,0.936166766916529,1.0993286286194,19353.177074214,9357.68867914484,9995.48839506919,18118.1905737327,8771.29503222942,9346.89554150325,0.0681627944830105,0.0668537137059877,0.0693912594492984,0.0028401164367921,0.00278557140441615,0.0028913024770541,1235,586,649,51,24,27
0.392468174332916,0.350558658442479,847.638364683516,757.123729772218,0.282743338205363,0.366250418134441,0.00591715976331361,169,4,0.0910366819184739,0.261365327634127,1.93381681235983,1.1801008653113,1.75776854632443,0.871663416007895,33512.5622413299,17956.8097694845,15555.7524718455,33179.8354260015,17776.8439882387,15402.9914377627,0.0100279826905872,0.0101236069442249,0.00991762117767718,0.0004178326121078,0.000421816956009373,0.000413234215736549,333,180,153,14,8,6
