"original","bias","std. error","min. c.i.","max. c.i.","X","index"
-0.0100058220719507,-0.00157544773192365,0.00776396964137497,-0.0267305670392089,0.00590236716280947,"rinv","first order"
-0.0139949434947586,-0.00091490396503275,0.00608438974285344,-0.0256933634622048,-0.00142987605110312,"time_intervention","first order"
0.0968267252748204,6.82478417400878e-05,0.00965854764565864,0.0761382073427975,0.115667241385168,"R0_1","first order"
0.0732250007676003,0.000863796896280425,0.0189219735583004,0.0273504505547978,0.107061958047934,"R0_2","first order"
0.00563279679927924,-0.000330564465589895,0.00785799622981886,-0.00994309864691454,0.021221270193941,"omega_1","first order"
0.0800873956997327,-0.00141806702263779,0.0101461065477753,0.0583080962752846,0.0997964553454711,"omega_2","first order"
-0.0151725239924297,-0.000948720733967186,0.00622037509323781,-0.0294724453916296,-0.00139854280775733,"p_12","first order"
-0.0195065606296635,-0.000923947917409771,0.00599431247882199,-0.0310256661456587,-0.0070120973346836,"p_21","first order"
0.181386458886995,0.00203108478596195,0.0126755117559542,0.153681030567276,0.209216352761965,"rinv","total"
0.0570832396842009,0.000984275929199273,0.0046914702728462,0.0455459928362264,0.0641159042777165,"time_intervention","total"
0.61222411364607,0.000707296282436376,0.0195475936705343,0.568862162625483,0.649447021003367,"R0_1","total"
0.563843499636666,0.00293725387950072,0.0263580562687377,0.501753562123716,0.620623326460613,"R0_2","total"
0.144185070121666,-7.32254981589964e-05,0.0208596952640348,0.0819838090760065,0.181194077027167,"omega_1","total"
0.467362482866148,-0.00292971332952813,0.0229709604509389,0.423902118342946,0.510787843301846,"omega_2","total"
0.0910511085779788,0.000124406364211044,0.0106246843945628,0.069200129759967,0.11182609584259,"p_12","total"
0.0697348654747239,0.000971392329182294,0.00661957394689786,0.0555564221150907,0.0802175158864729,"p_21","total"
