"original","bias","std. error","min. c.i.","max. c.i.","X","index"
0.0141573328551871,-0.000252447626944836,0.0110454998747968,-0.0083147289978353,0.0387336502826137,"rinv*time_intervention","second order"
0.013840315511036,-0.00037042257880714,0.010040619998544,-0.00444925751528363,0.0319781374276066,"rinv*R0_1","second order"
0.010844977908084,-6.96874312145091e-05,0.010486031528286,-0.0106881681572317,0.0295406748702102,"rinv*R0_2","second order"
0.0433021410656613,-0.000215962563765576,0.012662253480693,0.0154576414306668,0.0689117995282468,"rinv*omega_1","second order"
0.0778397323128877,0.00093357760155742,0.0132017854907406,0.0498281411648285,0.101533882188,"rinv*omega_2","second order"
0.0170760398154675,-0.000246041366158644,0.01054392195306,-0.00352651473127016,0.0371498369986332,"rinv*p_12","second order"
0.0129807130113145,-0.000159016544241539,0.0105169646646964,-0.00669284357853106,0.0334283333290842,"rinv*p_21","second order"
0.0193126678576488,-0.000267013245240304,0.010778733302519,0.000449370724030312,0.0405865237179435,"time_intervention*R0_1","second order"
0.0141124289963595,-9.41488502174178e-05,0.0102685981667317,-0.00588340463712521,0.0341132478798074,"time_intervention*R0_2","second order"
0.0312623863036942,-5.32317774408937e-05,0.0112654023184436,0.0084433595943283,0.0541141759752211,"time_intervention*omega_1","second order"
0.0207305627791539,-0.000713921758757414,0.0103496250592176,-0.00104110116619567,0.0405087840418926,"time_intervention*omega_2","second order"
0.0114146385863715,-0.000117237925308045,0.0103749286349002,-0.00798341195645215,0.0321005425488131,"time_intervention*p_12","second order"
0.0104712063309637,-0.000256273108254913,0.0104532159272597,-0.00965851491418889,0.0297596871176099,"time_intervention*p_21","second order"
0.0182589977891164,-0.000314292379294794,0.0101907052805489,-0.00259152159248312,0.0373856688233034,"R0_1*R0_2","second order"
0.0422705371219063,0.000125301492722385,0.0111436273101003,0.020701546943934,0.0649133767485667,"R0_1*omega_1","second order"
0.00924065546740055,4.43395250491092e-05,0.011097978024249,-0.0130063675555418,0.0303387105618549,"R0_1*omega_2","second order"
0.0147935684576573,-5.53965791529505e-05,0.0103136172693,-0.0045859922894,0.0363363832739226,"R0_1*p_12","second order"
0.0134484466654012,-9.67346637411378e-05,0.0101766336617954,-0.00683964705907375,0.0331081951536469,"R0_1*p_21","second order"
0.0194821164858377,-0.000146123736775219,0.0105343795198492,-0.00140433119633771,0.0414074055498466,"R0_2*omega_1","second order"
0.019362186604813,1.10748163059671e-05,0.0103682139261254,-0.00230494433320343,0.0387712232410359,"R0_2*omega_2","second order"
0.0125319469972272,-4.86494822535613e-06,0.0100540766890182,-0.00725788077644941,0.0321279781967982,"R0_2*p_12","second order"
0.0170048437626934,-1.43491804834445e-05,0.00999458051677199,-0.00311675866630933,0.0357901563892336,"R0_2*p_21","second order"
0.0456044953075251,-0.00050015907428419,0.0125862572113244,0.0192019381372139,0.0712240089975329,"omega_1*omega_2","second order"
0.0138009910876271,6.00803570860991e-05,0.00991793706751138,-0.00440179599652955,0.0322039508910112,"omega_1*p_12","second order"
0.0126839442155547,-0.000197918405089292,0.0100127676942013,-0.00557721856979897,0.0330011678493595,"omega_1*p_21","second order"
0.0128264968363794,-0.000234270517648997,0.0103865651382101,-0.00662145095467912,0.0348705025093696,"omega_2*p_12","second order"
0.0133663128544794,7.7119703707617e-06,0.0107003675665815,-0.00946988502238816,0.0338529453680076,"omega_2*p_21","second order"
0.0137633015435239,-4.04060413940199e-07,0.0101411469113358,-0.0059991491576658,0.033416847062511,"p_12*p_21","second order"
